region_code,region_name,REGION_NORM,crude_prev_per_100k,who_asr_per_100k,latitud
1,De Tarapacá,tarapaca,4.980228492883254,10.155232180375805,20.2
2,De Antofagasta,antofagasta,11.062225719814826,12.181331903174973,23.6
3,De Atacama,atacama,10.656703693488128,21.616436601985015,27.4
4,De Coquimbo,coquimbo,9.550076343080164,12.7907653817098,30.0
5,De Valparaíso,valparaiso,14.023927206866354,17.8542736837801,32.9
6,Del Libertador B. O'Higgins,libertador bernardo o'higgins,11.201718382904213,15.726146513907684,34.6
7,Del Maule,maule,10.665373060127761,14.556739343632074,35.5
8,Del Bíobío,bio-bio,15.700921239659099,23.470679637313843,37.4
9,De La Araucanía,la araucania,14.296815505917618,22.26887510604731,38.5
10,De Los Lagos,los lagos,13.775182410965487,16.182684562595032,41.5
11,De Aisén del Gral. C. Ibáñez del Campo,aysen gralibanez campo,12.00302845641054,26.275778733292846,45.5
12,De Magallanes y de La Antártica Chilena,magallanes y antartica chilena,39.51332751609345,50.93492254083647,53.2
13,Metropolitana de Santiago,metropolitana santiago,30.079626759275744,30.907091411701266,33.5
14,De Los Ríos,los rios,16.29357619678749,23.150478819005652,40.0
15,De Arica y Parinacota,arica y parinacota,2.309451043486963,8.001162705515451,18.5
16,De Ñuble,nuble,14.63122573093561,22.178121710066275,36.7
